761000714.jpg,A group of children, two separate teams, green and red, playing soccer.,Young kids playing soccer on a lush, green field.,True,True,0.8875
3220151692.jpg,A sumo wrestler in black begins to push another in blue out of the ring.,Two sumo wrestlers wrestling in a sand ring.,False,False,0.85
4668665781.jpg,A man works with spray paint on a fence wall near the side of the road.,A guy in shorts and a backward cap is spray painting a wall outside.,True,True,0.855
6381955081.jpg,A competitive rower is rowing through the water while wearing sunglasses to protect his eyes from the sun.,A man dressed in athletic gear and sunglasses sits in a boat, paddling with a large oar.,True,True,0.85
4725000343.jpg,A man is selecting a chair from a stack under a shady awning.,A man beneath a red and white tent about to sit down.,False,False,0.8875
428927040.jpg,A man in blue holds a microphone and stands next to another man in blue with an orange wristband in front of a large speaker.,A man in a blue shirt and black hoodie is watching another man, in a blue shirt, do something with electronic equipment.,False,False,0.85
1263801010.jpg,A person in a red and black ski outfit is looking over a snowy, mountainous landscape.,A man in red snow gear looks at an expanse of snow and mountains.,True,True,0.8875
4457029240.jpg,Stone building wall with graffiti painted near the bottom, 2 people also near the wall.,Homeless people are by a building with graffiti painted on it.,False,False,0.725
3330218126.jpg,A young Asian woman wearing modern clothing leans against a cast iron fence in front of a brick building.,Asian woman in black boots and tights with short dress leans again fence.,False,False,0.7845
2636454827.jpg,Three people in hiking gear smile at the camera with mountains and rocks in the background.,A male and two female hikers pose in front of a mountainous landscape.,True,True,0.8875
3372340429.jpg,A large dog and two smaller dogs running around in the snow.,Three dogs are in the snow in front of a fence.,True,True,0.85
3133403457.jpg,A young boy is posing with incredible hulk gloves on.,A young boys hands is wearing two giant green gloves.,True,True,0.7845
7278633600.jpg,A boy playing soccer goes for a header as his opponents look on from the bench.,A soccer player dressed in a red uniform goes up for a header.,True,True,0.85
4909614126.jpg,A modest popcorn cart with the Spanish text "El Rey de las Palomitas" and a yellow umbrella is attended by a woman at night in a city scene.,A Hispanic popcorn vendor on a street corner at night.,False,False,0.7845
3848368547.jpg,A group of people watch a vintage steam locomotive (with coal car) on a track, separated by a chain link fence.,Here is a picture of people outside waiting for the great lakes bus to take them somewhere.,False,False,0.85
4438007869.jpg,A person sweeping while another is sitting in a parked street sweeper in front of a building.,There is a green trash truck in road with a person sweeping sidewalk.,False,False,0.85
2790909995.jpg,A dog running in the sand, grass in the background.,A brown dog is running though some sand.,True,True,0.85
2053441349.jpg,A large brown dog is running through a field of flowers.,A tan dog walks through a field of colorful flowers.,True,True,0.925
4967627255.jpg,A woman with a beautiful dress and matching umbrella is walking down the street carrying a purse on her arm.,She shades herself with her little yellow umbrella, as she shows off her fancy long dress.,False,False,0.925
2192802444.jpg,People walking on an old wooden bridge over the water, one of them is a toddler, while others play under the bridge,A group of mostly nude children playing on a bridge over some water.,True,True,0.1
3234375022.jpg,A snowboarder jumps over a wooden structure,A man snowboards over wooden snow fences.,True,True,0.925
5410472318.jpg,A man navigates a plow being pulled through a field by two cows with mountains and shrubbery in the background.,Hardworking farmer and oxen plowing his fields on a hot summer day.,False,False,0.8875
1389264266.jpg,Two girls facing each other one has a skull face bag wearing a red and black shirt, the other is wearing a beaded belt.,A girl with pink streaked hair and fur uggs looks back while the girl walking next to her looks at her.,False,False,0.8875
4654883364.jpg,Three blond women at the bar drinking out of glasses.,Three women are out having a drink together.,True,True,0.85
2975627633.jpg,A man in a red hat and a woman in black sitting in plastic chairs on grass.,A couple sitting in white lawn chairs are smiling at the camera.,False,False,0.925
512101751.jpg,A white dog with a muzzle is running through an uncut field with a fence nearby.,A white dog with a muzzle trots on grass in front of trees.,True,True,0.85
2557507575.jpg,A brown dog running in field of long green grass.,A golden dog runs through a field of tall grass.,False,False,0.925
1357724865.jpg,A half-dressed man walks into a river at the bottom of a small waterfall.,A man standing in the water at the base of a waterfall.,True,True,0.925
1160034462.jpg,White-haired man in gray sweater and a straw hat sitting on a bench under a tree.,The old man in the brown hat is sitting on the bench.,False,False,0.925
2087640654.jpg,A blond dog is digging a deep hole in the ground and its tail is up in the air.,A dog is digging in the ground and half of his body is under the ground.,True,True,0.85
3640329164.jpg,A surfer is riding the waves whilst another surfer sits on his board waiting.,A surfer wearing a black and green wetsuit riding a wave.,False,False,0.8875
4526144395.jpg,A platinum blond young woman wearing heavy makeup is carrying a pink clutch and talking on her mobile phone.,A blond girl walking and talking on a cellphone while clutching a pink wallet.,True,True,0.85
3514019869.jpg,A black and brown dog jumping over two white and purple stiped poles,Black and brown dog jumping over hurdle with white supports.,True,True,0.855
16397322.jpg,Pedestrians walking and riding their bikes on a nice neighborhood.,A woman wearing a blue jacket is riding a bike on a sunny day.,False,False,0.85
2071309418.jpg,A white dog wearing a christmas reindeer headband plays with a brown dog in the grass among some stuffed animals.,A white dog with fake antlers on its head and a brown dog play together outdoors.,True,True,0.925
5897297135.jpg,A man in a bright pastel blue overcoat plays a unique instrument by the corner of a building with a sign propped against a bag in front of him.,A man with a crazy hairdo and a long braided mustache sits on the sidewalk outside playing a stringed instrument.,False,False,0.8875
507758961.jpg,A girl wearing blue goggles on her head makes a face while laying on the grass.,A little girl makes a goofy face and does a half push up in the grass.,False,False,0.925
227701311.jpg,A man in a black hat is sitting on a stool in front of a lime green door with a speaker on his right side.,An older man wearing a black hat, tan jacket, and dark pants, sits in front of a lime green door.,True,True,0.7845
224026428.jpg,A little boy looling over the fence at a guard standing in front of a black shed.,A little kid stands and looks at the military guard who is guarding a building.,False,False,0.8875
2587696611.jpg,A young girl with a white dress walks down a dirt road with trees and fields on both sides of the road.,A little girl in a white dress and no shoes walks down a dirt road in America.,True,True,0.85
4974671375.jpg,Picture of five people sitting on surfboards in the water.,A group of surfers paddle out into the water.,True,True,0.85
2119381199.jpg,A woman in a red shirt and eyeglasses is seated on a beige couch smiling up at the camera showing a just unwrapped gift.,A lady in red shirt advertising a camera case and memory card.,False,False,0.85
3088322308.jpg,A man, woman, and two girls walk on the beach barefoot.,People walking in the water along the beach.,True,True,0.8875
2369248869.jpg,A large black and white dog is running through the water.,A dog running through the water right toward the camera.,True,True,0.85
2783430487.jpg,Woman wearing a long red garment and hat, holding a baby with a little girl next to her in front of a hut.,A woman in a long mauve dress with a tall hat is posing with a young girl and holding a baby in her arms.,False,False,0.925
4843297992.jpg,People dressed like furry animals walk the streets on a rainy day.,A group of bushy haired people are walking down a rainy sidewalk.,True,True,0.75
4817681157.jpg,People rushing and boarding buses at the depot station.,People are walking by a bus in a city at dusk.,False,False,0.85
2560388887.jpg,A group of people are flying colorful kites near a beautiful snowcapped mountain range.,Several people are flying kites, with mountains in the background.,True,True,0.85
4763448557.jpg,Happy couple riding bikes side by side with each other during a nice summer day.,A colored couple rides bicycles with white wall tires along a city street.,True,True,0.35
3328400291.jpg,A group of people are working on an unfinished wooden shed.,Several people building a small building in a crowded yard.,True,True,0.85
2502597417.jpg,A waiting and growing crowd gathered on the far side walkway of an urban street.,A group of people crowded outside on a city street.,True,True,0.925
1201218421.jpg,A young female is sitting in a chair on the beach, while reading a book with her feet in the sand.,A brunette woman is sitting in a blue folding chair and reading at the beach.,True,True,0.85
2659606300.jpg,A small child in a pink sweater begins to climb a concrete staircase.,A small child in a pink hoodie ascending tall stairs outdoors.,True,True,0.925
149042906.jpg,Two barefoot young African boys in brightly colored clothing are sitting on a stone floor, one holding a clear bottle of water with a second, blue bottle on the floor between his legs.,Two small brightly dressed African children with water bottles are sitting on a stone floor.,True,True,0.8875
2832076014.jpg,An automobile is submerged in water, almost to the door handles.,A Land Rover makes its way through a deep pond.,False,False,0.85
7308070356.jpg,A man sitting on railroad tracks eating something and selling something displayed on top of a crate.,Man sitting on a railroad track selling something with a scale in the picture.,True,True,0.85
1468389504.jpg,Two little girls in pink outfits play on a yellow and red playground.,Two young girls wearing pink outfits playing on yellow monkey bars.,True,True,0.85
4600972102.jpg,A young European man with a glass of beer talking to an older man eating a large bag of Lays potato chips.,A man holding a beer is looking at an old man eating lays potato chips.,True,True,0.8745
1255846277.jpg,A big green tractor pulls a red attachment along a weeded area.,A green tractor with a red machine on the back is in a field.,True,True,0.85
2900418076.jpg,Two male construction workers in safety vests, sitting in a fenced in area on a street, reading newspapers.,Two construction men with white hats are sitting in chairs reading newspapers.,False,False,0.85
2957660840.jpg,Three people of east Asian heritage, two men and a woman, are interacting with a white American man wearing army gear.,A group of people, a few with military uniforms, the others wearing business suits inside of a white room.,False,False,0.925
